"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"51901","occ","","","3861","Quasicaris bohemica","species","19091","species not entered","Quasicaris","genus","19091","Letna","Harnagian","460.9","455.8","227"
"88876","occ","","","6546","Cyzicus ? shupei","species","57396","species not entered","Cyzicus","genus","57396","Cenomanian","","100.5","93.9","284"
"92344","occ","","","6850","Branchiopoda indet.","class","22113","","Branchiopoda","class","22113","Waucoban","","530","513","424"
"129934","occ","","","10721","Lepidocaris rhyniensis","species","473312","","Lepidocaris rhyniensis","species","473312","Pragian","","410.8","407.6","3991"
"210483","occ","","","23258","Estheria sp.","genus","133416","","Estheria","genus","133416","Early Devonian","Middle Devonian","419.2","382.7","6577"
"210490","occ","","","23260","Estheria sp.","genus","133416","","Estheria","genus","133416","Early Devonian","Middle Devonian","419.2","382.7","6577"
"251289","occ","","","24458","Lioestheria lallyensis","species","222093","species not entered","Lioestheria","genus","179624","Permian","","298.9","252.17","6870"
"251305","occ","","","24459","Euestheria dawsoni","species","198361","species not entered","Euestheria","genus","198361","Permian","","298.9","252.17","6892"
"252645","occ","","","24624","Estheria sp.","genus","133416","","Estheria","genus","133416","Artinskian","Kungurian","290.1","272.3","4102"
"252664","occ","","","24622","Estheria sp.","genus","133416","","Estheria","genus","133416","Permian","","298.9","252.17","4102"
"277114","occ","","","11923","Estheria sp.","genus","133416","","Estheria","genus","133416","Pliensbachian","Early Toarcian","190.8","182","7280"
"279037","occ","","","26668","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Lochkovian","","419.2","410.8","7247"
"279041","occ","","","26669","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Lochkovian","","419.2","410.8","7247"
"279046","occ","","","26670","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Lochkovian","","419.2","410.8","7247"
"363271","occ","","","34416","Cyzicus laxitextus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","9062"
"363272","occ","","","34416","Cyzicus cf. dorsorectus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","9062"
